City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Itarema,BR,77.56,few clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
1,Tura,IN,81.43,overcast clouds,25.5198,90.2201,Hotel RIKMAN Continental
8,Atuona,PF,76.84,few clouds,-9.8,-139.0333,Hôtel Hiva Oa Hanakee Lodge
15,Hit,IQ,86.23,clear sky,33.6416,42.8251,المعلق حسان رزاق
17,Kieta,PG,81.66,moderate rain,-6.2167,155.6333,Uruna Bay Retreat
20,Lorengau,PG,84.18,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
23,Bourail,NC,80.78,clear sky,-21.5667,165.4833,Motel Allamanda
24,Avarua,CK,75.25,broken clouds,-21.2078,-159.775,Paradise Inn
27,Meulaboh,ID,84.18,broken clouds,4.1363,96.1285,Kost Pria
32,Carutapera,BR,75.49,overcast clouds,-1.195,-46.02,Lidera
33,Kapaa,US,82.38,broken clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
38,La Asuncion,VE,80.98,broken clouds,11.0333,-63.8628,Colinas de Matasiete
42,Saint George,US,82.94,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
50,Karratha,AU,83.19,clear sky,-20.7377,116.8463,ibis Styles Karratha
57,Port Hedland,AU,82.45,clear sky,-20.3167,118.5667,The Esplanade Hotel
60,Mailani,IN,84.76,scattered clouds,28.2833,80.35,Nani House
61,Beruwala,LK,80.82,overcast clouds,6.4788,79.9828,The Palms Hotel
62,Tuy Hoa,VN,80.13,overcast clouds,13.0833,109.3,CenDeluxe Hotel Tuy Hoa
64,Aswan,EG,79.9,clear sky,24.0934,32.907,Nuba Nile
67,Sakakah,SA,76.57,clear sky,29.9697,40.2064,Fakhamat Al Orjoana Apartment
74,Hirara,JP,82.26,broken clouds,24.8,125.2833,Hotel Atoll Emerald Miyakojima
78,Basco,PH,83.73,overcast clouds,20.4487,121.9702,Nathaniel's Lodge
84,Alofi,NU,80.49,clear sky,-19.0595,-169.9187,Taloa Heights
85,Dingle,PH,87.4,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
88,Butaritari,KI,82.04,few clouds,3.0707,172.7902,Isles Sunset Lodge
94,Morant Bay,JM,83.82,clear sky,17.8815,-76.4093,Whispering Bamboo Cove Resort
95,Hithadhoo,MV,82.04,overcast clouds,-0.6,73.0833,Scoop Guest House
104,Korla,CN,77.9,scattered clouds,41.7597,86.1469,Gulisitan Hotel
105,Hilo,US,80.28,moderate rain,19.7297,-155.09,Hilo Hawaiian Hotel
107,Kavieng,PG,83.19,light rain,-2.5744,150.7967,Nusa Island Retreat
109,Havelock,US,76.93,overcast clouds,34.8791,-76.9013,Sherwood Motel
112,San Ramon De La Nueva Oran,AR,78.42,clear sky,-23.1322,-64.326,Hotel Residencial Centro
116,Fare,PF,78.48,light rain,-16.7,-151.0167,Maitai Lapita Village Huahine
119,Batticaloa,LK,84.49,overcast clouds,7.7102,81.6924,Grand Star Guest House
122,Isangel,VU,84.31,broken clouds,-19.55,169.2667,Tanna Lodge
128,Banda Aceh,ID,86.25,overcast clouds,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
130,Atambua,ID,86.86,broken clouds,-9.1061,124.8925,Kost Alfa Flat
132,Nizwa,OM,84.78,clear sky,22.9333,57.5333,Orient Apartments
136,Sao Filipe,CV,78.04,broken clouds,14.8961,-24.4956,Hotel Xaguate
137,Bud,US,75.22,clear sky,39.447,-86.1758,Ted McQuinn Trust
141,Rayagada,IN,75.7,overcast clouds,19.1667,83.4167,"Hotel Swagath, Rayagada"
142,Marzuq,YE,82.54,clear sky,14.4,46.4667,حيد القفلة
144,Georgetown,MY,87.73,few clouds,5.4112,100.3354,Cititel Penang
147,Trairi,BR,77.67,overcast clouds,-3.2778,-39.2689,janelas do mar
151,Badvel,IN,84.58,overcast clouds,14.75,79.05,Venkatalakshuma five star tiffin centre
152,Beihai,CN,88.21,scattered clouds,21.4833,109.1,21 Degree Hostel
154,Griffith,US,79.05,overcast clouds,41.5284,-87.4237,Apartment above Depot Bar
155,Camocim,BR,76.64,overcast clouds,-2.9022,-40.8411,Ilha Praia Hotel
160,Cabo San Lucas,MX,85.51,overcast clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
162,Clifton,US,77.72,clear sky,40.8584,-74.1638,Quality Urban Housing
166,Faridpur,BD,80.04,overcast clouds,23.6,89.8333,Progoti Muslim hostel
170,Karaton,ID,87.22,overcast clouds,-6.3424,106.1045,Parkir Mobil Wisata CAS Water Park
175,San Andres,CO,82.42,few clouds,12.5847,-81.7006,Hotel Arena Blanca
180,Umm Lajj,SA,81.86,clear sky,25.0213,37.2685,Moon light Furnished Units
183,San Patricio,US,84.88,clear sky,28.017,-97.5169,"Motel 6 Sinton, TX"
186,Kerema,PG,83.61,overcast clouds,-7.9631,145.7785,Frena Lodge
187,Narasannapeta,IN,79.81,overcast clouds,18.4167,84.05,AVK events and catering
193,Katsuura,JP,81.9,overcast clouds,35.1333,140.3,Katsuura Hotel Mikazuki
194,Pemangkat,ID,79.81,overcast clouds,1.1667,108.9667,Hotel Duyung Permai 2
196,Kattivakkam,IN,87.89,overcast clouds,13.2167,80.3167,Euronova Freezer
200,Miyako,JP,81.14,moderate rain,39.6367,141.9525,Hotel Route Inn Miyako
203,Banjar,ID,89.76,clear sky,-8.19,114.9675,The Hamsa Resort
204,Pathein,MM,81.12,overcast clouds,16.7833,94.7333,Pathein Hotel
206,Jaque,PA,76.87,light rain,7.5175,-78.1703,Aventuras Jaque S.A
208,Sabang,ID,82.53,overcast clouds,5.8933,95.3214,Hotel Citra
210,Komsomolskiy,UZ,75.92,clear sky,40.4272,71.7189,Ikathouse
218,Marawi,PH,83.07,broken clouds,7.9986,124.2928,Derogongan Residence
220,Touho,NC,75.99,clear sky,-20.7833,165.2333,Auberge Timay Evasion
230,Hami,CN,78.69,few clouds,42.8,93.45,Laoyutang Resort
238,Cartagena,CO,76.62,light intensity drizzle,10.3997,-75.5144,Hotel Colombia Real - Cartagena
239,Touros,BR,76.15,few clouds,-5.1989,-35.4608,INN NEW HORIZON
242,Saint-Pierre,RE,75.56,clear sky,-21.3393,55.4781,Alize Plage
243,Kupang,ID,87.1,overcast clouds,-10.1667,123.5833,Hotel On The Rock by Prasanthi
247,Don Sak,TH,86.14,overcast clouds,9.3168,99.6918,Lam-tong Resort
249,Aguada De Pasajeros,CU,75.45,scattered clouds,22.385,-80.8508,CASA MAMÁ
253,Bubaque,GW,79.74,moderate rain,11.2833,-15.8333,"Casa Dora, Bubaque"
255,Bahia Honda,CU,78.82,broken clouds,22.9036,-83.1592,Casa Gualberto - Deysi
261,Makakilo City,US,84.56,scattered clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
262,Khuzdar,PK,76.73,clear sky,27.7384,66.6434,jhalwan Rent A Car Compny Moola Chotok
271,Gizo,SB,83.75,light rain,-8.103,156.8419,Imagination Island
276,Barreirinha,BR,77.81,overcast clouds,-2.7933,-57.07,Hotel e Restaurante Tupana Iwato
279,Mangrol,IN,83.34,clear sky,21.1167,70.1167,Hotel The Royal Honours
282,Piranhas,BR,81.97,broken clouds,-16.4269,-51.8222,Planalto Hotel
283,Porbandar,IN,82.38,scattered clouds,21.6422,69.6093,Lords Inn Porbandar
288,Faanui,PF,78.73,clear sky,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
289,Pangkalanbuun,ID,88.05,overcast clouds,-2.6833,111.6167,Grand Kecubung Hotel
291,Acapulco,MX,80.42,overcast clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
296,Estacion Coahuila,MX,86.22,clear sky,32.1939,-115.0017,Hotel Las Cabañas
297,Itupiranga,BR,75.52,clear sky,-5.1347,-49.3267,Hotel Panorama
298,Hobyo,SO,77.59,overcast clouds,5.3505,48.5268,Halane Hotel and Restaurent
299,Lae,PG,84.87,overcast clouds,-6.7221,146.9847,Phils Hotel
302,Sur,OM,84.13,clear sky,22.5667,59.5289,Sur Plaza Hotel
310,San Angelo,US,82.54,clear sky,31.4638,-100.437,"Motel 6 San Angelo, TX"
318,Yulara,AU,89.58,few clouds,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
321,Bathsheba,BB,83.01,few clouds,13.2167,-59.5167,Atlantis Hotel
323,Port-Gentil,GA,76.26,overcast clouds,-0.7193,8.7815,Fengshui Residence
328,Yamada,JP,78.93,overcast clouds,39.4667,141.95,Iroha-ya Inn
333,Ranong,TH,82.33,overcast clouds,9.9658,98.6348,Numsai Khaosuay Resort Ranong
334,Cayenne,GF,78.84,clear sky,4.9333,-52.3333,Hôtel Le Dronmi
335,Nuevo Progreso,MX,78.55,scattered clouds,23.1667,-97.95,Balneario Rio el Paraiso
346,Zhuhai,CN,87.51,clear sky,22.2769,113.5678,珠海粤财假日酒店
347,Tumarbong,PH,86.22,overcast clouds,10.3766,119.4579,Rufino’s Place
349,Port Blair,IN,84.51,broken clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
350,Eyl,SO,80.55,overcast clouds,7.9803,49.8164,Amiin Hotel
351,Gazanjyk,TM,75.72,clear sky,39.2446,55.5154,Railway motel
354,Oistins,BB,82.49,few clouds,13.0667,-59.5333,Butterfly Beach Hotel
356,Kuching,MY,75.42,light rain,1.55,110.3333,Hilton Kuching
362,Nabire,ID,85.78,broken clouds,-3.3667,135.4833,Hotel Nusantara I
365,Sompeta,IN,80.6,overcast clouds,18.9333,84.6,బెంకిలి భైరొడమ్మ క్రికెట్ గ్రౌండ్
368,Upata,VE,77.2,overcast clouds,8.0086,-62.3989,Posada Villa Nela
370,Jalu,LY,76.15,clear sky,29.0331,21.5482,صاحبة الفخامة
373,Ternate,ID,86.52,few clouds,0.8,127.4,Sahid Bela Ternate Hotel
374,Oranjestad,AW,85.95,scattered clouds,12.524,-70.027,Divi Village Golf & Beach Resort
375,Padang,ID,82.45,overcast clouds,-0.9492,100.3543,Mercure Padang
379,Denpasar,ID,80.26,broken clouds,-8.65,115.2167,OYO 3156 Hotel Warta 2
381,Kloulklubed,PW,86.5,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
394,Severiano Melo,BR,76.05,scattered clouds,-5.7772,-37.9578,Chácara Bela Vista
395,Ahuimanu,US,85.75,scattered clouds,21.4447,-157.8378,Paradise Bay Resort
398,Byron Bay,AU,79.95,clear sky,-28.65,153.6167,Backpackers Inn
403,Buhangin,PH,83.55,overcast clouds,6.4911,125.5475,Maldives tubalan malita davao occidental
413,Olinda,BR,76.73,broken clouds,-8.0089,-34.8553,Flat Quatro Rodas Olinda
414,Bundaberg,AU,82.22,few clouds,-24.85,152.35,Takalvan Motel
415,Gunjur,GM,77.07,thunderstorm,13.2019,-16.7339,Jallo Kurundingoto Eco Tourist Camp
416,Hope,US,82.45,scattered clouds,33.6671,-93.5916,Best Western Hope
420,Shamgarh,IN,81.46,clear sky,24.1833,75.6333,janhvi namkeen bhandar
424,Virginia Beach,US,75.02,few clouds,36.8529,-75.978,Hilton Virginia Beach Oceanfront
429,Kahului,US,86.02,clear sky,20.8947,-156.47,Maui Seaside Hotel
433,Shimonoseki,JP,82.44,broken clouds,33.95,130.95,Toyoko INN Shimonoseki Kaikyo Yume Tower mae
