City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Itarema,BR,-2.9248,-39.9167,77.56,83,19,13.73,few clouds
1,Tura,IN,25.5198,90.2201,81.43,83,97,4.83,overcast clouds
2,Lebu,CL,-37.6167,-73.65,42.69,79,1,5.53,clear sky
3,Yar-Sale,RU,66.8333,70.8333,46.36,86,100,13.87,overcast clouds
4,Port Elizabeth,ZA,-33.918,25.5701,55.69,82,0,12.66,clear sky
5,Victoria,HK,22.2855,114.1577,92.25,76,53,5.99,broken clouds
6,Mar Del Plata,AR,-38.0023,-57.5575,57.09,96,100,17.0,overcast clouds
7,Mantua,IT,45.1667,10.7833,58.15,83,14,1.99,few clouds
8,Atuona,PF,-9.8,-139.0333,76.84,75,16,21.47,few clouds
9,Vardo,NO,70.3705,31.1107,46.38,93,75,13.8,light intensity drizzle
10,Nikolskoye,RU,59.7035,30.7861,50.79,97,99,5.03,overcast clouds
11,Palenque,MX,17.5167,-91.9667,74.5,93,59,3.89,broken clouds
12,Sangar,RU,63.9242,127.4739,38.34,64,64,14.09,broken clouds
13,Bethel,US,41.3712,-73.414,74.64,77,0,5.75,clear sky
14,Jamestown,US,42.097,-79.2353,69.71,71,0,6.91,clear sky
15,Hit,IQ,33.6416,42.8251,86.23,21,0,7.7,clear sky
16,Ahipara,NZ,-35.1667,173.1667,60.35,96,100,13.53,light rain
17,Kieta,PG,-6.2167,155.6333,81.66,83,98,7.07,moderate rain
18,Pevek,RU,69.7008,170.3133,32.43,94,100,15.77,overcast clouds
19,Luderitz,NA,-26.6481,15.1594,52.47,80,48,11.05,scattered clouds
20,Lorengau,PG,-2.0226,147.2712,84.18,70,97,6.69,overcast clouds
21,Upernavik,GL,72.7868,-56.1549,35.76,72,100,0.18,overcast clouds
22,Ushuaia,AR,-54.8,-68.3,35.26,75,0,0.0,clear sky
23,Bourail,NC,-21.5667,165.4833,80.78,57,0,3.24,clear sky
24,Avarua,CK,-21.2078,-159.775,75.25,88,75,3.44,broken clouds
25,Busselton,AU,-33.65,115.3333,57.09,80,77,18.84,broken clouds
26,Mount Gambier,AU,-37.8333,140.7667,56.97,60,85,7.54,overcast clouds
27,Meulaboh,ID,4.1363,96.1285,84.18,63,84,2.91,broken clouds
28,Mataura,NZ,-46.1927,168.8643,61.0,58,100,6.13,overcast clouds
29,Bambous Virieux,MU,-20.3428,57.7575,73.22,94,75,10.36,light rain
30,Walvis Bay,NA,-22.9575,14.5053,52.09,76,0,4.61,clear sky
31,Rikitea,PF,-23.1203,-134.9692,72.32,76,27,18.52,scattered clouds
32,Carutapera,BR,-1.195,-46.02,75.49,87,89,5.59,overcast clouds
33,Kapaa,US,22.0752,-159.319,82.38,78,75,13.8,broken clouds
34,Esperance,AU,-33.8667,121.9,62.19,65,5,13.69,clear sky
35,Shelburne,CA,44.0787,-80.2041,68.45,85,98,6.89,overcast clouds
36,Siguiri,GN,11.6667,-9.5,68.79,99,36,2.98,scattered clouds
37,Tilichiki,RU,60.4667,166.1,49.08,45,0,12.01,clear sky
38,La Asuncion,VE,11.0333,-63.8628,80.98,83,80,8.3,broken clouds
39,Nanortalik,GL,60.1432,-45.2371,44.94,80,99,11.68,overcast clouds
40,Mahebourg,MU,-20.4081,57.7,72.25,94,75,10.36,broken clouds
41,Chernyshevskiy,RU,63.0128,112.4714,37.74,97,100,7.14,overcast clouds
42,Saint George,US,37.1041,-113.5841,82.94,23,0,4.0,clear sky
43,Caconda,AO,-13.7333,15.0667,55.53,87,5,2.55,clear sky
44,Punta Arenas,CL,-53.15,-70.9167,35.71,87,0,6.91,clear sky
45,New Norfolk,AU,-42.7826,147.0587,59.92,67,70,3.0,broken clouds
46,Castro,BR,-24.7911,-50.0119,48.49,97,20,7.07,few clouds
47,Norman Wells,CA,65.282,-126.8329,48.24,71,75,3.44,broken clouds
48,Fergus Falls,US,46.283,-96.0776,63.18,85,0,6.91,clear sky
49,Vila Velha,BR,-20.3297,-40.2925,67.95,78,0,5.75,clear sky
50,Karratha,AU,-20.7377,116.8463,83.19,28,0,17.34,clear sky
51,Puerto Ayora,EC,-0.7393,-90.3518,67.55,89,11,3.0,few clouds
52,Bluff,NZ,-46.6,168.3333,54.39,72,100,3.47,overcast clouds
53,Ayr,GB,55.4627,-4.6339,50.31,100,48,2.3,scattered clouds
54,Morsbach,DE,50.8667,7.75,47.66,92,93,7.18,overcast clouds
55,Baiyin,CN,36.5583,104.2081,55.26,73,100,15.28,overcast clouds
