City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Katsuura,JP,2022-09-18 22:18:36,35.1333,140.3,79.9,90,73,18.28
1,San Quintin,MX,2022-09-18 22:18:36,30.4833,-115.95,72.09,65,0,15.77
2,Akcaabat,TR,2022-09-18 22:18:37,41.0212,39.5715,76.87,69,0,6.91
3,Constitucion,CL,2022-09-18 22:18:37,-35.3333,-72.4167,50.05,61,3,14.58
4,Salalah,OM,2022-09-18 22:18:37,17.0151,54.0924,80.69,89,75,5.75
5,Provideniya,RU,2022-09-18 22:18:38,64.3833,-173.3,41.36,100,100,7.0
6,Tuktoyaktuk,CA,2022-09-18 22:18:38,69.4541,-133.0374,51.8,71,75,12.66
7,Erenhot,CN,2022-09-18 22:18:38,43.6475,111.9767,50.85,30,100,8.57
8,Black Diamond,US,2022-09-18 22:16:17,47.3087,-122.0032,75.81,45,7,3.0
9,Alofi,NU,2022-09-18 22:18:39,-19.0595,-169.9187,80.49,74,6,14.97
10,Cape Town,ZA,2022-09-18 22:18:08,-33.9258,18.4232,56.08,73,20,9.22
11,Puerto Ayora,EC,2022-09-18 22:18:40,-0.7393,-90.3518,73.36,85,71,4.0
12,Saint-Philippe,RE,2022-09-18 22:18:40,-21.3585,55.7679,71.19,84,52,12.3
13,New Norfolk,AU,2022-09-18 22:18:41,-42.7826,147.0587,52.92,69,100,4.0
14,Coihaique,CL,2022-09-18 22:18:02,-45.5752,-72.0662,37.35,87,100,3.44
15,Launceston,AU,2022-09-18 22:18:10,-41.45,147.1667,49.8,94,72,4.61
16,Hilo,US,2022-09-18 22:18:37,19.7297,-155.09,86.29,79,100,6.91
17,Vanavara,RU,2022-09-18 22:18:42,60.34,102.2797,43.41,99,100,4.85
18,Fortuna,US,2022-09-18 22:18:43,40.5982,-124.1573,62.94,87,100,4.25
19,Hualmay,PE,2022-09-18 22:18:43,-11.0964,-77.6139,64.22,79,19,11.81
20,Gat,IL,2022-09-18 22:18:44,31.61,34.7642,77.68,100,0,2.89
21,Torbay,CA,2022-09-18 22:15:52,47.6666,-52.7314,53.76,69,20,19.57
22,Buraydah,SA,2022-09-18 22:18:44,26.326,43.975,88.25,14,5,7.63
23,Mahebourg,MU,2022-09-18 22:18:45,-20.4081,57.7,71.89,78,40,11.5
24,Busselton,AU,2022-09-18 22:18:45,-33.65,115.3333,52.32,82,98,1.66
25,Leh,IN,2022-09-18 22:18:46,34.1667,77.5833,53.13,32,0,2.35
26,Ushuaia,AR,2022-09-18 22:18:46,-54.8,-68.3,42.46,65,0,9.22
27,Taltal,CL,2022-09-18 22:18:46,-25.4,-70.4833,60.06,60,22,3.76
28,Dikson,RU,2022-09-18 22:18:47,73.5069,80.5464,30.85,78,12,16.75
29,Vardo,NO,2022-09-18 22:18:47,70.3705,31.1107,46.38,93,100,13.8
30,Port Elizabeth,ZA,2022-09-18 22:18:48,-33.918,25.5701,54.32,96,20,8.05
31,Ribeira Grande,PT,2022-09-18 22:18:48,38.5167,-28.7,74.19,88,100,6.26
32,Narsaq,GL,2022-09-18 22:18:48,60.9167,-46.05,57.42,79,100,5.61
33,Kavieng,PG,2022-09-18 22:18:49,-2.5744,150.7967,82.11,78,71,11.97
34,Hobart,AU,2022-09-18 22:15:14,-42.8794,147.3294,53.26,73,75,9.22
35,Albany,US,2022-09-18 22:18:43,42.6001,-73.9662,75.63,85,96,8.68
36,Vila Velha,BR,2022-09-18 22:18:50,-20.3297,-40.2925,69.75,77,75,3.44
37,Mataura,NZ,2022-09-18 22:18:50,-46.1927,168.8643,46.47,66,100,2.98
38,Arman,RU,2022-09-18 22:18:50,59.7,150.1667,45.45,74,100,4.99
39,Yulara,AU,2022-09-18 22:18:51,-25.2406,130.9889,60.15,31,0,9.01
40,Qaanaaq,GL,2022-09-18 22:18:51,77.484,-69.3632,22.64,56,0,7.85
41,Bluff,NZ,2022-09-18 22:18:52,-46.6,168.3333,46.8,71,100,10.83
42,Kiunga,PG,2022-09-18 22:18:52,-6.1219,141.2906,73.26,99,91,1.45
43,Lebu,CL,2022-09-18 22:18:49,-37.6167,-73.65,47.62,62,7,7.92
44,Ndele,CF,2022-09-18 22:18:53,8.4109,20.6473,69.87,98,96,2.1
45,Fort Nelson,CA,2022-09-18 22:18:53,58.8053,-122.7002,60.39,39,75,8.05
46,Shakawe,BW,2022-09-18 22:18:54,-18.3667,21.85,70.65,25,1,4.59
47,Chuy,UY,2022-09-18 22:18:54,-33.6971,-53.4616,58.24,81,100,10.96
48,Alice Springs,AU,2022-09-18 22:15:38,-23.7,133.8833,56.75,47,22,0.0
49,Takoradi,GH,2022-09-18 22:15:41,4.8845,-1.7554,74.98,90,29,9.06
50,Nikolskoye,RU,2022-09-18 22:19:55,59.7035,30.7861,49.91,88,100,3.49
51,Green River,US,2022-09-18 22:19:41,41.5286,-109.4662,77.18,27,1,7.0
52,Brigantine,US,2022-09-18 22:16:32,39.4101,-74.3646,79.03,75,0,10.36
53,Kamina,CD,2022-09-18 22:19:56,-8.7386,24.9906,64.31,85,100,4.43
54,Nome,US,2022-09-18 22:19:56,64.5011,-165.4064,46.47,87,100,25.32
55,Vaini,TO,2022-09-18 22:19:57,-21.2,-175.2,78.96,78,40,11.5
56,Seoul,KR,2022-09-18 22:19:57,37.5683,126.9778,78.19,73,0,17.27
57,Tasiilaq,GL,2022-09-18 22:19:58,65.6145,-37.6368,46.56,96,100,20.74
58,Clyde River,CA,2022-09-18 22:19:58,70.4692,-68.5914,34.03,100,100,10.36
59,Bo Phloi,TH,2022-09-18 22:19:59,14.3236,99.5161,75.06,90,100,2.75
60,Andros Town,BS,2022-09-18 22:19:59,24.7,-77.7667,87.76,71,37,11.79
61,Vulcanesti,MD,2022-09-18 22:20:00,45.6842,28.4028,54.97,53,5,15.39
62,Port Shepstone,ZA,2022-09-18 22:20:00,-30.7414,30.455,66.69,87,48,17.13
63,Adrar,MR,2022-09-18 22:20:01,20.5022,-10.0711,89.35,25,64,7.61
64,Camacupa,AO,2022-09-18 22:20:01,-12.0167,17.4833,67.59,67,83,8.3
65,Gombong,ID,2022-09-18 22:20:02,-7.6072,109.5142,76.21,86,100,4.5
66,Nouakchott,MR,2022-09-18 22:20:02,18.0858,-15.9785,80.53,72,79,17.58
